Date,Employment_Bachelors&Higher,Employment_SomeCollege_Associate
1/1/2005,39661,33858
1/1/2005,40802,33853
1/1/2005,40435,33853
1/1/2005,39979,33853
1/1/2005,39661,33853
1/1/2005,40802,33794
1/1/2005,40435,33794
1/1/2005,39979,33794
1/1/2005,39661,33794
1/1/2005,40802,33934
1/1/2005,40435,33934
1/1/2005,39979,33934
1/1/2005,39661,33934
1/1/2005,40802,34081
1/1/2005,40435,34081
1/1/2005,39979,34081
1/1/2005,39661,34081
1/1/2006,42506,34322
1/1/2006,41846,34322
1/1/2006,41327,34322
1/1/2006,40897,34322
1/1/2006,42506,34600
1/1/2006,41846,34600
1/1/2006,41327,34600
1/1/2006,40897,34600
1/1/2006,42506,34202
1/1/2006,41846,34202
1/1/2006,41327,34202
1/1/2006,40897,34202
1/1/2006,42506,33973
1/1/2006,41846,33973
1/1/2006,41327,33973
1/1/2006,40897,33973
1/1/2006,42506,33735
1/1/2006,41846,33735
1/1/2006,41327,33735
1/1/2006,40897,33735
1/1/2006,42506,33694
1/1/2006,41846,33694
1/1/2006,41327,33694
1/1/2006,40897,33694
1/1/2006,42506,34020
1/1/2006,41846,34020
1/1/2006,41327,34020
1/1/2006,40897,34020
1/1/2006,42506,34125
1/1/2006,41846,34125
1/1/2006,41327,34125
1/1/2006,40897,34125
1/1/2006,42506,34136
1/1/2006,41846,34136
1/1/2006,41327,34136
1/1/2006,40897,34136
1/1/2006,42506,34311
1/1/2006,41846,34311
1/1/2006,41327,34311
1/1/2006,40897,34311
1/1/2006,42506,34062
1/1/2006,41846,34062
1/1/2006,41327,34062
1/1/2006,40897,34062
1/1/2006,42506,34422
1/1/2006,41846,34422
1/1/2006,41327,34422
1/1/2006,40897,34422
1/1/2007,43391,33919
1/1/2007,43410,33919
1/1/2007,43097,33919
1/1/2007,42824,33919
1/1/2007,43391,33473
1/1/2007,43410,33473
1/1/2007,43097,33473
1/1/2007,42824,33473
1/1/2007,43391,34193
1/1/2007,43410,34193
1/1/2007,43097,34193
1/1/2007,42824,34193
1/1/2007,43391,34406
1/1/2007,43410,34406
1/1/2007,43097,34406
1/1/2007,42824,34406
1/1/2007,43391,34792
1/1/2007,43410,34792
1/1/2007,43097,34792
1/1/2007,42824,34792
1/1/2007,43391,34907
1/1/2007,43410,34907
1/1/2007,43097,34907
1/1/2007,42824,34907
1/1/2007,43391,34945
1/1/2007,43410,34945
1/1/2007,43097,34945
1/1/2007,42824,34945
1/1/2007,43391,34745
1/1/2007,43410,34745
1/1/2007,43097,34745
1/1/2007,42824,34745
1/1/2007,43391,34818
1/1/2007,43410,34818
1/1/2007,43097,34818
1/1/2007,42824,34818
1/1/2007,43391,35054
1/1/2007,43410,35054
1/1/2007,43097,35054
1/1/2007,42824,35054
1/1/2007,43391,35011
1/1/2007,43410,35011
1/1/2007,43097,35011
1/1/2007,42824,35011
1/1/2007,43391,34992
1/1/2007,43410,34992
1/1/2007,43097,34992
1/1/2007,42824,34992
1/1/2008,43742,35093
1/1/2008,43950,35093
1/1/2008,43919,35093
1/1/2008,44202,35093
1/1/2008,43742,34804
1/1/2008,43950,34804
1/1/2008,43919,34804
1/1/2008,44202,34804
1/1/2008,43742,35139
1/1/2008,43950,35139
1/1/2008,43919,35139
1/1/2008,44202,35139
1/1/2008,43742,35209
1/1/2008,43950,35209
1/1/2008,43919,35209
1/1/2008,44202,35209
1/1/2008,43742,35185
1/1/2008,43950,35185
1/1/2008,43919,35185
1/1/2008,44202,35185
1/1/2008,43742,35330
1/1/2008,43950,35330
1/1/2008,43919,35330
1/1/2008,44202,35330
1/1/2008,43742,34853
1/1/2008,43950,34853
1/1/2008,43919,34853
1/1/2008,44202,34853
1/1/2008,43742,35078
1/1/2008,43950,35078
1/1/2008,43919,35078
1/1/2008,44202,35078
1/1/2008,43742,35131
1/1/2008,43950,35131
1/1/2008,43919,35131
1/1/2008,44202,35131
1/1/2008,43742,34841
1/1/2008,43950,34841
1/1/2008,43919,34841
1/1/2008,44202,34841
1/1/2008,43742,34986
1/1/2008,43950,34986
1/1/2008,43919,34986
1/1/2008,44202,34986
1/1/2008,43742,34826
1/1/2008,43950,34826
1/1/2008,43919,34826
1/1/2008,44202,34826
1/1/2009,43879,34242
1/1/2009,43631,34242
1/1/2009,43354,34242
1/1/2009,43283,34242
1/1/2009,43879,34432
1/1/2009,43631,34432
1/1/2009,43354,34432
1/1/2009,43283,34432
1/1/2009,43879,34207
1/1/2009,43631,34207
1/1/2009,43354,34207
1/1/2009,43283,34207
1/1/2009,43879,34169
1/1/2009,43631,34169
1/1/2009,43354,34169
1/1/2009,43283,34169
1/1/2009,43879,33929
1/1/2009,43631,33929
1/1/2009,43354,33929
1/1/2009,43283,33929
1/1/2009,43879,33850
1/1/2009,43631,33850
1/1/2009,43354,33850
1/1/2009,43283,33850
1/1/2009,43879,33744
1/1/2009,43631,33744
1/1/2009,43354,33744
1/1/2009,43283,33744
1/1/2009,43879,33612
1/1/2009,43631,33612
1/1/2009,43354,33612
1/1/2009,43283,33612
1/1/2009,43879,33567
1/1/2009,43631,33567
1/1/2009,43354,33567
1/1/2009,43283,33567
1/1/2009,43879,33625
1/1/2009,43631,33625
1/1/2009,43354,33625
1/1/2009,43283,33625
1/1/2009,43879,33693
1/1/2009,43631,33693
1/1/2009,43354,33693
1/1/2009,43283,33693
1/1/2009,43879,33640
1/1/2009,43631,33640
1/1/2009,43354,33640
1/1/2009,43283,33640
1/1/2010,44095,33604
1/1/2010,44068,33604
1/1/2010,43749,33604
1/1/2010,43450,33604
1/1/2010,44095,33639
1/1/2010,44068,33639
1/1/2010,43749,33639
1/1/2010,43450,33639
1/1/2010,44095,33598
1/1/2010,44068,33598
1/1/2010,43749,33598
1/1/2010,43450,33598
1/1/2010,44095,33648
1/1/2010,44068,33648
1/1/2010,43749,33648
1/1/2010,43450,33648
1/1/2010,44095,33824
1/1/2010,44068,33824
1/1/2010,43749,33824
1/1/2010,43450,33824
1/1/2010,44095,33700
1/1/2010,44068,33700
1/1/2010,43749,33700
1/1/2010,43450,33700
1/1/2010,44095,33774
1/1/2010,44068,33774
1/1/2010,43749,33774
1/1/2010,43450,33774
1/1/2010,44095,33789
1/1/2010,44068,33789
1/1/2010,43749,33789
1/1/2010,43450,33789
1/1/2010,44095,33543
1/1/2010,44068,33543
1/1/2010,43749,33543
1/1/2010,43450,33543
1/1/2010,44095,34135
1/1/2010,44068,34135
1/1/2010,43749,34135
1/1/2010,43450,34135
1/1/2010,44095,33891
1/1/2010,44068,33891
1/1/2010,43749,33891
1/1/2010,43450,33891
1/1/2010,44095,33841
1/1/2010,44068,33841
1/1/2010,43749,33841
1/1/2010,43450,33841
1/1/2011,45133,33888
1/1/2011,44950,33888
1/1/2011,44768,33888
1/1/2011,44467,33888
1/1/2011,45133,33844
1/1/2011,44950,33844
1/1/2011,44768,33844
1/1/2011,44467,33844
1/1/2011,45133,33868
1/1/2011,44950,33868
1/1/2011,44768,33868
1/1/2011,44467,33868
1/1/2011,45133,33934
1/1/2011,44950,33934
1/1/2011,44768,33934
1/1/2011,44467,33934
1/1/2011,45133,33886
1/1/2011,44950,33886
1/1/2011,44768,33886
1/1/2011,44467,33886
1/1/2011,45133,33693
1/1/2011,44950,33693
1/1/2011,44768,33693
1/1/2011,44467,33693
1/1/2011,45133,33691
1/1/2011,44950,33691
1/1/2011,44768,33691
1/1/2011,44467,33691
1/1/2011,45133,33909
1/1/2011,44950,33909
1/1/2011,44768,33909
1/1/2011,44467,33909
1/1/2011,45133,33795
1/1/2011,44950,33795
1/1/2011,44768,33795
1/1/2011,44467,33795
1/1/2011,45133,33867
1/1/2011,44950,33867
1/1/2011,44768,33867
1/1/2011,44467,33867
1/1/2011,45133,34072
1/1/2011,44950,34072
1/1/2011,44768,34072
1/1/2011,44467,34072
1/1/2011,45133,34301
1/1/2011,44950,34301
1/1/2011,44768,34301
1/1/2011,44467,34301
1/1/2012,46948,34755
1/1/2012,46384,34755
1/1/2012,46102,34755
1/1/2012,45739,34755
1/1/2012,46948,34599
1/1/2012,46384,34599
1/1/2012,46102,34599
1/1/2012,45739,34599
1/1/2012,46948,34634
1/1/2012,46384,34634
1/1/2012,46102,34634
1/1/2012,45739,34634
1/1/2012,46948,34404
1/1/2012,46384,34404
1/1/2012,46102,34404
1/1/2012,45739,34404
1/1/2012,46948,34188
1/1/2012,46384,34188
1/1/2012,46102,34188
1/1/2012,45739,34188
1/1/2012,46948,34697
1/1/2012,46384,34697
1/1/2012,46102,34697
1/1/2012,45739,34697
1/1/2012,46948,34625
1/1/2012,46384,34625
1/1/2012,46102,34625
1/1/2012,45739,34625
1/1/2012,46948,34803
1/1/2012,46384,34803
1/1/2012,46102,34803
1/1/2012,45739,34803
1/1/2012,46948,34997
1/1/2012,46384,34997
1/1/2012,46102,34997
1/1/2012,45739,34997
1/1/2012,46948,35041
1/1/2012,46384,35041
1/1/2012,46102,35041
1/1/2012,45739,35041
1/1/2012,46948,34821
1/1/2012,46384,34821
1/1/2012,46102,34821
1/1/2012,45739,34821
1/1/2012,46948,34906
1/1/2012,46384,34906
1/1/2012,46102,34906
1/1/2012,45739,34906
1/1/2013,47945,34764
1/1/2013,47396,34764
1/1/2013,47523,34764
1/1/2013,47270,34764
1/1/2013,47945,34879
1/1/2013,47396,34879
1/1/2013,47523,34879
1/1/2013,47270,34879
1/1/2013,47945,34919
1/1/2013,47396,34919
1/1/2013,47523,34919
1/1/2013,47270,34919
1/1/2013,47945,34805
1/1/2013,47396,34805
1/1/2013,47523,34805
1/1/2013,47270,34805
1/1/2013,47945,34954
1/1/2013,47396,34954
1/1/2013,47523,34954
1/1/2013,47270,34954
1/1/2013,47945,34665
1/1/2013,47396,34665
1/1/2013,47523,34665
1/1/2013,47270,34665
1/1/2013,47945,34937
1/1/2013,47396,34937
1/1/2013,47523,34937
1/1/2013,47270,34937
1/1/2013,47945,35437
1/1/2013,47396,35437
1/1/2013,47523,35437
1/1/2013,47270,35437
1/1/2013,47945,35269
1/1/2013,47396,35269
1/1/2013,47523,35269
1/1/2013,47270,35269
1/1/2013,47945,34837
1/1/2013,47396,34837
1/1/2013,47523,34837
1/1/2013,47270,34837
1/1/2013,47945,34922
1/1/2013,47396,34922
1/1/2013,47523,34922
1/1/2013,47270,34922
1/1/2013,47945,34731
1/1/2013,47396,34731
1/1/2013,47523,34731
1/1/2013,47270,34731
1/1/2014,49669,34700
1/1/2014,48688,34700
1/1/2014,48571,34700
1/1/2014,48471,34700
1/1/2014,49669,34908
1/1/2014,48688,34908
1/1/2014,48571,34908
1/1/2014,48471,34908
1/1/2014,49669,34922
1/1/2014,48688,34922
1/1/2014,48571,34922
1/1/2014,48471,34922
1/1/2014,49669,35078
1/1/2014,48688,35078
1/1/2014,48571,35078
1/1/2014,48471,35078
1/1/2014,49669,35096
1/1/2014,48688,35096
1/1/2014,48571,35096
1/1/2014,48471,35096
1/1/2014,49669,35440
1/1/2014,48688,35440
1/1/2014,48571,35440
1/1/2014,48471,35440
1/1/2014,49669,35776
1/1/2014,48688,35776
1/1/2014,48571,35776
1/1/2014,48471,35776
1/1/2014,49669,36009
1/1/2014,48688,36009
1/1/2014,48571,36009
1/1/2014,48471,36009
1/1/2014,49669,35644
1/1/2014,48688,35644
1/1/2014,48571,35644
1/1/2014,48471,35644
1/1/2014,49669,35553
1/1/2014,48688,35553
1/1/2014,48571,35553
1/1/2014,48471,35553
1/1/2014,49669,35374
1/1/2014,48688,35374
1/1/2014,48571,35374
1/1/2014,48471,35374
1/1/2014,49669,35110
1/1/2014,48688,35110
1/1/2014,48571,35110
1/1/2014,48471,35110
1/1/2015,51599,35328
1/1/2015,51156,35328
1/1/2015,50304,35328
1/1/2015,50111,35328
1/1/2015,51599,35468
1/1/2015,51156,35468
1/1/2015,50304,35468
1/1/2015,50111,35468
1/1/2015,51599,35681
1/1/2015,51156,35681
1/1/2015,50304,35681
1/1/2015,50111,35681
1/1/2015,51599,35947
1/1/2015,51156,35947
1/1/2015,50304,35947
1/1/2015,50111,35947
1/1/2015,51599,35889
1/1/2015,51156,35889
1/1/2015,50304,35889
1/1/2015,50111,35889
1/1/2015,51599,36199
1/1/2015,51156,36199
1/1/2015,50304,36199
1/1/2015,50111,36199
1/1/2015,51599,36070
1/1/2015,51156,36070
1/1/2015,50304,36070
1/1/2015,50111,36070
1/1/2015,51599,35748
1/1/2015,51156,35748
1/1/2015,50304,35748
1/1/2015,50111,35748
1/1/2015,51599,35698
1/1/2015,51156,35698
1/1/2015,50304,35698
1/1/2015,50111,35698
1/1/2015,51599,35568
1/1/2015,51156,35568
1/1/2015,50304,35568
1/1/2015,50111,35568
1/1/2015,51599,35662
1/1/2015,51156,35662
1/1/2015,50304,35662
1/1/2015,50111,35662
1/1/2015,51599,36196
1/1/2015,51156,36196
1/1/2015,50304,36196
1/1/2015,50111,36196
1/1/2016,52652,36392
1/1/2016,52755,36392
1/1/2016,52347,36392
1/1/2016,51742,36392
1/1/2016,52652,36426
1/1/2016,52755,36426
1/1/2016,52347,36426
1/1/2016,51742,36426
1/1/2016,52652,36404
1/1/2016,52755,36404
1/1/2016,52347,36404
1/1/2016,51742,36404
1/1/2016,52652,36217
1/1/2016,52755,36217
1/1/2016,52347,36217
1/1/2016,51742,36217
1/1/2016,52652,36498
1/1/2016,52755,36498
1/1/2016,52347,36498
1/1/2016,51742,36498
1/1/2016,52652,36386
1/1/2016,52755,36386
1/1/2016,52347,36386
1/1/2016,51742,36386
1/1/2016,52652,36410
1/1/2016,52755,36410
1/1/2016,52347,36410
1/1/2016,51742,36410
1/1/2016,52652,36056
1/1/2016,52755,36056
1/1/2016,52347,36056
1/1/2016,51742,36056
1/1/2016,52652,36185
1/1/2016,52755,36185
1/1/2016,52347,36185
1/1/2016,51742,36185
1/1/2016,52652,36425
1/1/2016,52755,36425
1/1/2016,52347,36425
1/1/2016,51742,36425
1/1/2016,52652,36481
1/1/2016,52755,36481
1/1/2016,52347,36481
1/1/2016,51742,36481
1/1/2016,52652,36754
1/1/2016,52755,36754
1/1/2016,52347,36754
1/1/2016,51742,36754
1/1/2017,54382,36586
1/1/2017,54444,36586
1/1/2017,53845,36586
1/1/2017,53215,36586
1/1/2017,54382,36214
1/1/2017,54444,36214
1/1/2017,53845,36214
1/1/2017,53215,36214
1/1/2017,54382,36535
1/1/2017,54444,36535
1/1/2017,53845,36535
1/1/2017,53215,36535
1/1/2017,54382,36370
1/1/2017,54444,36370
1/1/2017,53845,36370
1/1/2017,53215,36370
1/1/2017,54382,35872
1/1/2017,54444,35872
1/1/2017,53845,35872
1/1/2017,53215,35872
1/1/2017,54382,36156
1/1/2017,54444,36156
1/1/2017,53845,36156
1/1/2017,53215,36156
1/1/2017,54382,36148
1/1/2017,54444,36148
1/1/2017,53845,36148
1/1/2017,53215,36148
1/1/2017,54382,35983
1/1/2017,54444,35983
1/1/2017,53845,35983
1/1/2017,53215,35983
1/1/2017,54382,36208
1/1/2017,54444,36208
1/1/2017,53845,36208
1/1/2017,53215,36208
1/1/2017,54382,36256
1/1/2017,54444,36256
1/1/2017,53845,36256
1/1/2017,53215,36256
1/1/2017,54382,36532
1/1/2017,54444,36532
1/1/2017,53845,36532
1/1/2017,53215,36532
1/1/2017,54382,36531
1/1/2017,54444,36531
1/1/2017,53845,36531
1/1/2017,53215,36531
1/1/2018,56996,36539
1/1/2018,56193,36539
1/1/2018,55610,36539
1/1/2018,55183,36539
1/1/2018,56996,36247
1/1/2018,56193,36247
1/1/2018,55610,36247
1/1/2018,55183,36247
1/1/2018,56996,36272
1/1/2018,56193,36272
1/1/2018,55610,36272
1/1/2018,55183,36272
1/1/2018,56996,36631
1/1/2018,56193,36631
1/1/2018,55610,36631
1/1/2018,55183,36631
1/1/2018,56996,36672
1/1/2018,56193,36672
1/1/2018,55610,36672
1/1/2018,55183,36672
1/1/2018,56996,36630
1/1/2018,56193,36630
1/1/2018,55610,36630
1/1/2018,55183,36630
1/1/2018,56996,36449
1/1/2018,56193,36449
1/1/2018,55610,36449
1/1/2018,55183,36449
1/1/2018,56996,35965
1/1/2018,56193,35965
1/1/2018,55610,35965
1/1/2018,55183,35965
1/1/2018,56996,36185
1/1/2018,56193,36185
1/1/2018,55610,36185
1/1/2018,55183,36185
1/1/2018,56996,36301
1/1/2018,56193,36301
1/1/2018,55610,36301
1/1/2018,55183,36301
1/1/2018,56996,36287
1/1/2018,56193,36287
1/1/2018,55610,36287
1/1/2018,55183,36287
1/1/2018,56996,35872
1/1/2018,56193,35872
1/1/2018,55610,35872
1/1/2018,55183,35872
1/1/2019,58666,36045
1/1/2019,57622,36045
1/1/2019,57146,36045
1/1/2019,57188,36045
1/1/2019,58666,36002
1/1/2019,57622,36002
1/1/2019,57146,36002
1/1/2019,57188,36002
1/1/2019,58666,35994
1/1/2019,57622,35994
1/1/2019,57146,35994
1/1/2019,57188,35994
1/1/2019,58666,36205
1/1/2019,57622,36205
1/1/2019,57146,36205
1/1/2019,57188,36205
1/1/2019,58666,36677
1/1/2019,57622,36677
1/1/2019,57146,36677
1/1/2019,57188,36677
1/1/2019,58666,36136
1/1/2019,57622,36136
1/1/2019,57146,36136
1/1/2019,57188,36136
1/1/2019,58666,36163
1/1/2019,57622,36163
1/1/2019,57146,36163
1/1/2019,57188,36163
1/1/2019,58666,36640
1/1/2019,57622,36640
1/1/2019,57146,36640
1/1/2019,57188,36640
1/1/2019,58666,36344
1/1/2019,57622,36344
1/1/2019,57146,36344
1/1/2019,57188,36344
1/1/2019,58666,36429
1/1/2019,57622,36429
1/1/2019,57146,36429
1/1/2019,57188,36429
1/1/2019,58666,36329
1/1/2019,57622,36329
1/1/2019,57146,36329
1/1/2019,57188,36329
1/1/2019,58666,36418
1/1/2019,57622,36418
1/1/2019,57146,36418
1/1/2019,57188,36418
1/1/2020,57267,36181
1/1/2020,57753,36181
1/1/2020,56196,36181
1/1/2020,58936,36181
1/1/2020,57267,36115
1/1/2020,57753,36115
1/1/2020,56196,36115
1/1/2020,58936,36115
1/1/2020,57267,35902
1/1/2020,57753,35902
1/1/2020,56196,35902
1/1/2020,58936,35902
1/1/2020,57267,30421
1/1/2020,57753,30421
1/1/2020,56196,30421
1/1/2020,58936,30421
1/1/2020,57267,31637
1/1/2020,57753,31637
1/1/2020,56196,31637
1/1/2020,58936,31637
1/1/2020,57267,32675
1/1/2020,57753,32675
1/1/2020,56196,32675
1/1/2020,58936,32675
1/1/2020,57267,32978
1/1/2020,57753,32978
1/1/2020,56196,32978
1/1/2020,58936,32978
1/1/2020,57267,33642
1/1/2020,57753,33642
1/1/2020,56196,33642
1/1/2020,58936,33642
1/1/2020,57267,33056
1/1/2020,57753,33056
1/1/2020,56196,33056
1/1/2020,58936,33056
1/1/2020,57267,33409
1/1/2020,57753,33409
1/1/2020,56196,33409
1/1/2020,58936,33409
1/1/2020,57267,33387
1/1/2020,57753,33387
1/1/2020,56196,33387
1/1/2020,58936,33387
1/1/2020,57267,33430
1/1/2020,57753,33430
1/1/2020,56196,33430
1/1/2020,58936,33430
