Year,State,Age Group (Years),State Rate,State Births
1/1/1991,Colorado,15-17 years,35.1,2234
1/1/1991,Connecticut,15-17 years,26.2,1465
1/1/1991,Delaware,15-17 years,39.9,486
1/1/1991,District of Columbia,15-17 years,102.4,856
1/1/1991,Florida,15-17 years,43.4,9737
1/1/1991,Georgia,15-17 years,50.4,6841
1/1/1991,Hawaii,15-17 years,34.4,707
1/1/1991,Idaho,15-17 years,29.4,724
1/1/1991,Illinois,15-17 years,40.5,9038
1/1/1991,Indiana,15-17 years,35.4,4095
1/1/1991,Iowa,15-17 years,22.8,1278
1/1/1991,Kansas,15-17 years,29.3,1433
1/1/1991,Kentucky,15-17 years,42.8,3342
1/1/1991,Louisiana,15-17 years,51.1,4802
1/1/1991,Maine,15-17 years,23.7,567
1/1/1991,Maryland,15-17 years,35,2966
1/1/1991,Massachusetts,15-17 years,25.1,2519
1/1/1991,Michigan,15-17 years,35.6,6773
1/1/1991,Minnesota,15-17 years,20.7,1749
1/1/1991,Mississippi,15-17 years,60.3,3670
1/1/1991,Missouri,15-17 years,38.9,3912
1/1/1991,Montana,15-17 years,23.4,402
1/1/1991,Nebraska,15-17 years,23.5,761
1/1/1991,Nevada,15-17 years,43.8,962
1/1/1991,New Hampshire,15-17 years,17,335
1/1/1991,New Jersey,15-17 years,26.2,3685
1/1/1991,New Mexico,15-17 years,49.7,1695
1/1/1991,New York,15-17 years,28.8,9586
1/1/1991,North Carolina,15-17 years,46.3,6004
1/1/1991,North Dakota,15-17 years,18.1,235
1/1/1991,Ohio,15-17 years,36.3,7875
1/1/1991,Oklahoma,15-17 years,41.6,2733
1/1/1991,Oregon,15-17 years,31.2,1765
1/1/1991,Pennsylvania,15-17 years,29.2,6348
1/1/1991,Rhode Island,15-17 years,30.1,506
1/1/1991,South Carolina,15-17 years,48,3569
1/1/1991,South Dakota,15-17 years,26.2,395
1/1/1991,Tennessee,15-17 years,47.7,4712
1/1/1991,Texas,15-17 years,50,18653
1/1/1991,Utah,15-17 years,26.9,1275
1/1/1991,Vermont,15-17 years,21.2,225
1/1/1991,Virginia,15-17 years,31.5,3648
1/1/1991,Washington,15-17 years,30.9,2907
1/1/1991,West Virginia,15-17 years,32.6,1272
1/1/1991,Wisconsin,15-17 years,24.8,2439
1/1/1991,Wyoming,15-17 years,26.3,277
1/1/1992,Alabama,15-17 years,46.1,4116
1/1/1992,Alaska,15-17 years,34.3,409
1/1/1992,Arizona,15-17 years,50.5,3842
1/1/1992,Arkansas,15-17 years,46.1,2403
1/1/1992,California,15-17 years,45.3,26010
1/1/1992,Colorado,15-17 years,36.4,2423
1/1/1992,Connecticut,15-17 years,25.7,1441
1/1/1992,Delaware,15-17 years,43.3,545
1/1/1992,District of Columbia,15-17 years,84.7,699
1/1/1992,Florida,15-17 years,41.7,9559
1/1/1992,Georgia,15-17 years,48.1,6662
1/1/1992,Hawaii,15-17 years,31,660
1/1/1992,Idaho,15-17 years,28.4,748
1/1/1992,Illinois,15-17 years,40,9129
1/1/1992,Indiana,15-17 years,34.8,4081
1/1/1992,Iowa,15-17 years,21.1,1223
1/1/1992,Kansas,15-17 years,30.2,1536
1/1/1992,Kentucky,15-17 years,38.9,3112
1/1/1992,Louisiana,15-17 years,52.2,5071
1/1/1992,Maine,15-17 years,21.1,509
1/1/1992,Maryland,15-17 years,32.6,2812
1/1/1992,Massachusetts,15-17 years,24.5,2448
1/1/1992,Michigan,15-17 years,33.9,6478
1/1/1992,Minnesota,15-17 years,20.5,1804
1/1/1992,Mississippi,15-17 years,58.8,3662
1/1/1992,Missouri,15-17 years,38.3,3947
1/1/1992,Montana,15-17 years,25.4,461
1/1/1992,Nebraska,15-17 years,22.8,759
1/1/1992,Nevada,15-17 years,42.4,972
1/1/1992,New Hampshire,15-17 years,14.7,294
1/1/1992,New Jersey,15-17 years,24.1,3439
1/1/1992,New Mexico,15-17 years,50.9,1808
1/1/1992,New York,15-17 years,28.5,9658
1/1/1992,North Carolina,15-17 years,43.8,5746
1/1/1992,North Dakota,15-17 years,17.8,239
1/1/1992,Ohio,15-17 years,34.8,7666
1/1/1992,Oklahoma,15-17 years,41,2778
1/1/1992,Oregon,15-17 years,30.2,1795
1/1/1992,Pennsylvania,15-17 years,28.6,6308
1/1/1992,Rhode Island,15-17 years,29.6,500
1/1/1992,South Carolina,15-17 years,45.6,3434
1/1/1992,South Dakota,15-17 years,26.6,424
1/1/1992,Tennessee,15-17 years,44.3,4460
1/1/1992,Texas,15-17 years,50.5,19296
1/1/1992,Utah,15-17 years,25.9,1338
1/1/1992,Vermont,15-17 years,17.1,186
1/1/1992,Virginia,15-17 years,30.7,3622
1/1/1992,Washington,15-17 years,30.7,3039
1/1/1992,West Virginia,15-17 years,32.7,1299
1/1/1992,Wisconsin,15-17 years,23.9,2427
1/1/1992,Wyoming,15-17 years,24.8,272
1/1/1993,Alabama,15-17 years,47.3,4278
1/1/1993,Alaska,15-17 years,33.6,416
1/1/1993,Arizona,15-17 years,49.1,3868
1/1/1993,Arkansas,15-17 years,45.1,2388
1/1/1993,California,15-17 years,45.3,26352
1/1/1993,Colorado,15-17 years,35.3,2431
1/1/1993,Connecticut,15-17 years,26.2,1478
1/1/1993,Delaware,15-17 years,38.5,496
1/1/1993,District of Columbia,15-17 years,94.4,784
1/1/1993,Florida,15-17 years,41.4,9729
1/1/1993,Georgia,15-17 years,48.4,6880
1/1/1993,Hawaii,15-17 years,29.1,633
1/1/1993,Idaho,15-17 years,29.1,809
1/1/1993,Illinois,15-17 years,40.8,9445
1/1/1993,Indiana,15-17 years,34.2,4073
1/1/1993,Iowa,15-17 years,23.2,1376
1/1/1993,Kansas,15-17 years,30.9,1615
1/1/1993,Kentucky,15-17 years,39.5,3222
1/1/1993,Louisiana,15-17 years,52.2,5176
1/1/1993,Maine,15-17 years,20,488
1/1/1993,Maryland,15-17 years,33.4,2945
1/1/1993,Massachusetts,15-17 years,23.5,2361
1/1/1993,Michigan,15-17 years,33,6369
1/1/1993,Minnesota,15-17 years,20.5,1861
1/1/1993,Mississippi,15-17 years,57,3611
1/1/1993,Missouri,15-17 years,36.5,3855
1/1/1993,Montana,15-17 years,26.4,499
1/1/1993,Nebraska,15-17 years,22.6,768
1/1/1993,Nevada,15-17 years,44.9,1082
1/1/1993,New Hampshire,15-17 years,14.8,302
1/1/1993,New Jersey,15-17 years,24.8,3572
1/1/1993,New Mexico,15-17 years,53,1958
1/1/1993,New York,15-17 years,29,9953
1/1/1993,North Carolina,15-17 years,43.1,5743
1/1/1993,North Dakota,15-17 years,17.5,242
1/1/1993,Ohio,15-17 years,34.8,7739
1/1/1993,Oklahoma,15-17 years,40.3,2772
1/1/1993,Oregon,15-17 years,30.1,1843
1/1/1993,Pennsylvania,15-17 years,28.3,6303
1/1/1993,Rhode Island,15-17 years,33.3,572
1/1/1993,South Carolina,15-17 years,43,3279
1/1/1993,South Dakota,15-17 years,24.7,406
1/1/1993,Tennessee,15-17 years,43,4419
1/1/1993,Texas,15-17 years,50.8,19812
1/1/1993,Utah,15-17 years,25.3,1400
1/1/1993,Vermont,15-17 years,16.8,186
1/1/1993,Virginia,15-17 years,30.2,3621
1/1/1993,Washington,15-17 years,29.4,2997
1/1/1993,West Virginia,15-17 years,33.5,1341
1/1/1993,Wisconsin,15-17 years,23.9,2483
1/1/1993,Wyoming,15-17 years,26.9,304
1/1/1994,Alabama,15-17 years,49.6,4597
1/1/1994,Alaska,15-17 years,33.1,426
1/1/1994,Arizona,15-17 years,50.1,4127
1/1/1994,Arkansas,15-17 years,47.6,2593
1/1/1994,California,15-17 years,44.1,26423
1/1/1994,Colorado,15-17 years,35,2517
1/1/1994,Connecticut,15-17 years,28.7,1652
1/1/1994,Delaware,15-17 years,43.4,582
1/1/1994,District of Columbia,15-17 years,79.6,682
1/1/1994,Florida,15-17 years,41.5,10145
1/1/1994,Georgia,15-17 years,47.9,7105
1/1/1994,Hawaii,15-17 years,30.9,696
1/1/1994,Idaho,15-17 years,26.6,788
1/1/1994,Illinois,15-17 years,40.3,9590
1/1/1994,Indiana,15-17 years,34.7,4240
1/1/1994,Iowa,15-17 years,22.9,1403
1/1/1994,Kansas,15-17 years,30.3,1648
1/1/1994,Kentucky,15-17 years,39.5,3306
1/1/1994,Louisiana,15-17 years,50.8,5200
1/1/1994,Maine,15-17 years,18.2,454
1/1/1994,Maryland,15-17 years,32.1,2913
1/1/1994,Massachusetts,15-17 years,23.6,2432
1/1/1994,Michigan,15-17 years,31.9,6303
1/1/1994,Minnesota,15-17 years,19.9,1896
1/1/1994,Mississippi,15-17 years,57.5,3739
1/1/1994,Missouri,15-17 years,35.4,3872
1/1/1994,Montana,15-17 years,22.2,438
1/1/1994,Nebraska,15-17 years,24.2,851
1/1/1994,Nevada,15-17 years,46.5,1214
1/1/1994,New Hampshire,15-17 years,14.6,311
1/1/1994,New Jersey,15-17 years,25,3700
1/1/1994,New Mexico,15-17 years,51.3,1988
1/1/1994,New York,15-17 years,28.7,10054
1/1/1994,North Carolina,15-17 years,43.6,5981
1/1/1994,North Dakota,15-17 years,15.3,218
1/1/1994,Ohio,15-17 years,33.7,7698
1/1/1994,Oklahoma,15-17 years,40.4,2855
1/1/1994,Oregon,15-17 years,29.8,1904
1/1/1994,Pennsylvania,15-17 years,27.9,6373
1/1/1994,Rhode Island,15-17 years,32.1,568
1/1/1994,South Carolina,15-17 years,44.7,3506
1/1/1994,South Dakota,15-17 years,22.9,392
1/1/1994,Tennessee,15-17 years,42.7,4547
1/1/1994,Texas,15-17 years,51.2,20680
1/1/1994,Utah,15-17 years,24.4,1433
1/1/1994,Vermont,15-17 years,16.2,187
1/1/1994,Virginia,15-17 years,30.8,3798
1/1/1994,Washington,15-17 years,28.5,3039
1/1/1994,West Virginia,15-17 years,32.7,1320
1/1/1994,Wisconsin,15-17 years,23.2,2489
1/1/1994,Wyoming,15-17 years,25.1,296
1/1/1995,Alabama,15-17 years,45.7,4347
1/1/1995,Alaska,15-17 years,30.3,402
1/1/1995,Arizona,15-17 years,47.5,4178
1/1/1995,Arkansas,15-17 years,46.6,2628
1/1/1995,California,15-17 years,41.7,25861
1/1/1995,Colorado,15-17 years,33.3,2511
1/1/1995,Connecticut,15-17 years,26.4,1555
1/1/1995,Delaware,15-17 years,38.5,535
1/1/1995,District of Columbia,15-17 years,66.7,592
1/1/1995,Florida,15-17 years,39.3,9993
1/1/1995,Georgia,15-17 years,47.6,7351
1/1/1995,Hawaii,15-17 years,26.8,618
1/1/1995,Idaho,15-17 years,26.6,818
1/1/1995,Illinois,15-17 years,37.6,9246
1/1/1995,Indiana,15-17 years,34.5,4348
1/1/1995,Iowa,15-17 years,22.3,1415
1/1/1995,Kansas,15-17 years,30,1692
1/1/1995,Kentucky,15-17 years,38.8,3305
1/1/1995,Louisiana,15-17 years,44.9,4747
1/1/1995,Maine,15-17 years,19.3,493
1/1/1995,Maryland,15-17 years,31.4,2964
1/1/1995,Massachusetts,15-17 years,21.5,2282
1/1/1995,Michigan,15-17 years,30.3,6161
1/1/1995,Minnesota,15-17 years,19.5,1951
1/1/1995,Mississippi,15-17 years,56.9,3813
1/1/1995,Missouri,15-17 years,32.5,3700
1/1/1995,Montana,15-17 years,22.9,468
1/1/1995,Nebraska,15-17 years,22,806
1/1/1995,Nevada,15-17 years,44.1,1236
1/1/1995,New Hampshire,15-17 years,14.8,329
1/1/1995,New Jersey,15-17 years,23.9,3613
1/1/1995,New Mexico,15-17 years,48.2,1951
1/1/1995,New York,15-17 years,26.4,9392
1/1/1995,North Carolina,15-17 years,41.9,5892
1/1/1995,North Dakota,15-17 years,17.8,262
1/1/1995,Ohio,15-17 years,32.6,7653
1/1/1995,Oklahoma,15-17 years,38.6,2814
1/1/1995,Oregon,15-17 years,29.7,1981
1/1/1995,Pennsylvania,15-17 years,26.2,6134
1/1/1995,Rhode Island,15-17 years,26.1,475
1/1/1995,South Carolina,15-17 years,42.2,3388
1/1/1995,South Dakota,15-17 years,21.4,381
1/1/1995,Tennessee,15-17 years,41.4,4553
1/1/1995,Texas,15-17 years,49.9,21018
1/1/1995,Utah,15-17 years,24.5,1488
1/1/1995,Vermont,15-17 years,10.6,128
1/1/1995,Virginia,15-17 years,30.1,3835
1/1/1995,Washington,15-17 years,28.1,3122
1/1/1995,West Virginia,15-17 years,30.5,1238
1/1/1995,Wisconsin,15-17 years,22.8,2541
1/1/1995,Wyoming,15-17 years,24.8,304
1/1/1996,Alabama,15-17 years,43.7,4207
1/1/1996,Alaska,15-17 years,26.7,370
1/1/1996,Arizona,15-17 years,46.6,4326
1/1/1996,Arkansas,15-17 years,43.6,2528
1/1/1996,California,15-17 years,37.2,24088
1/1/1996,Colorado,15-17 years,30.8,2430
1/1/1996,Connecticut,15-17 years,24.1,1443
1/1/1996,Delaware,15-17 years,39.5,569
1/1/1996,District of Columbia,15-17 years,67.3,595
1/1/1996,Florida,15-17 years,36,9509
1/1/1996,Georgia,15-17 years,44.6,7132
1/1/1996,Hawaii,15-17 years,26.9,638
1/1/1996,Idaho,15-17 years,26.2,829
1/1/1996,Illinois,15-17 years,35.1,8913
1/1/1996,Indiana,15-17 years,32.8,4204
1/1/1996,Iowa,15-17 years,21.5,1397
1/1/1996,Kansas,15-17 years,27.7,1619
1/1/1996,Kentucky,15-17 years,36.8,3154
1/1/1996,Louisiana,15-17 years,42.6,4607
1/1/1996,Maine,15-17 years,16.9,436
1/1/1996,Maryland,15-17 years,29.3,2841
1/1/1996,Massachusetts,15-17 years,19.7,2143
1/1/1996,Michigan,15-17 years,28.5,5915
1/1/1996,Minnesota,15-17 years,18.7,1937
1/1/1996,Mississippi,15-17 years,51.3,3501
1/1/1996,Missouri,15-17 years,31,3638
1/1/1996,Montana,15-17 years,21.3,445
1/1/1996,Nebraska,15-17 years,22.2,841
1/1/1996,Nevada,15-17 years,42,1265
1/1/1996,New Hampshire,15-17 years,15.3,353
1/1/1996,New Jersey,15-17 years,22.4,3435
1/1/1996,New Mexico,15-17 years,45.1,1892
1/1/1996,New York,15-17 years,24.4,8767
1/1/1996,North Carolina,15-17 years,41.3,5911
1/1/1996,North Dakota,15-17 years,16.1,242
1/1/1996,Ohio,15-17 years,29.6,7071
1/1/1996,Oklahoma,15-17 years,37.1,2794
1/1/1996,Oregon,15-17 years,29.3,2017
1/1/1996,Pennsylvania,15-17 years,24.4,5811
1/1/1996,Rhode Island,15-17 years,26.9,499
1/1/1996,South Carolina,15-17 years,39.7,3259
1/1/1996,South Dakota,15-17 years,22.4,409
1/1/1996,Tennessee,15-17 years,39.6,4440
1/1/1996,Texas,15-17 years,47.9,21065
1/1/1996,Utah,15-17 years,23.6,1462
1/1/1996,Vermont,15-17 years,15,187
1/1/1996,Virginia,15-17 years,27.3,3571
1/1/1996,Washington,15-17 years,26.2,3036
1/1/1996,West Virginia,15-17 years,29,1158
1/1/1996,Wisconsin,15-17 years,21.8,2507
1/1/1996,Wyoming,15-17 years,25,315
1/1/1997,Alabama,15-17 years,41.5,4033
1/1/1997,Alaska,15-17 years,25.4,370
1/1/1997,Arizona,15-17 years,44.4,4295
1/1/1997,Arkansas,15-17 years,41.6,2437
1/1/1997,California,15-17 years,34.3,23096
1/1/1997,Colorado,15-17 years,30.4,2519
1/1/1997,Connecticut,15-17 years,22.1,1344
1/1/1997,Delaware,15-17 years,35.3,524
1/1/1997,District of Columbia,15-17 years,54.6,476
1/1/1997,Florida,15-17 years,34.2,9449
1/1/1997,Georgia,15-17 years,43.1,7091
1/1/1997,Hawaii,15-17 years,23.9,582
1/1/1997,Idaho,15-17 years,22.9,742
1/1/1997,Illinois,15-17 years,33.3,8642
1/1/1997,Indiana,15-17 years,31.8,4138
1/1/1997,Iowa,15-17 years,20.3,1333
1/1/1997,Kansas,15-17 years,27.4,1655
1/1/1997,Kentucky,15-17 years,34.7,3008
1/1/1997,Louisiana,15-17 years,41,4499
1/1/1997,Maine,15-17 years,15.5,407
1/1/1997,Maryland,15-17 years,27.4,2755
1/1/1997,Massachusetts,15-17 years,18.8,2107
1/1/1997,Michigan,15-17 years,25.7,5396
1/1/1997,Minnesota,15-17 years,17.9,1918
1/1/1997,Mississippi,15-17 years,49.1,3390
1/1/1997,Missouri,15-17 years,29.6,3559
1/1/1997,Montana,15-17 years,20.1,428
1/1/1997,Nebraska,15-17 years,21.2,829
1/1/1997,Nevada,15-17 years,42.3,1374
1/1/1997,New Hampshire,15-17 years,14.1,338
1/1/1997,New Jersey,15-17 years,20.8,3233
1/1/1997,New Mexico,15-17 years,43.2,1873
1/1/1997,New York,15-17 years,22.2,8081
1/1/1997,North Carolina,15-17 years,38,5581
1/1/1997,North Dakota,15-17 years,14.2,219
1/1/1997,Ohio,15-17 years,28.5,6935
1/1/1997,Oklahoma,15-17 years,36.9,2867
1/1/1997,Oregon,15-17 years,26.6,1890
1/1/1997,Pennsylvania,15-17 years,21.7,5264
1/1/1997,Rhode Island,15-17 years,27,512
1/1/1997,South Carolina,15-17 years,38.6,3238
1/1/1997,South Dakota,15-17 years,21.5,401
1/1/1997,Tennessee,15-17 years,37.7,4280
1/1/1997,Texas,15-17 years,46.2,21104
1/1/1997,Utah,15-17 years,22.9,1443
1/1/1997,Vermont,15-17 years,11.9,153
1/1/1997,Virginia,15-17 years,25.7,3456
1/1/1997,Washington,15-17 years,24.5,2967
1/1/1997,West Virginia,15-17 years,27.6,1081
1/1/1997,Wisconsin,15-17 years,21.6,2544
1/1/1997,Wyoming,15-17 years,23.3,298
1/1/1998,Alabama,15-17 years,39.5,3781
1/1/1998,Alaska,15-17 years,25.3,386
1/1/1998,Arizona,15-17 years,44.4,4430
1/1/1998,Arkansas,15-17 years,39.8,2330
1/1/1998,California,15-17 years,31.4,21637
1/1/1998,Colorado,15-17 years,29.8,2549
1/1/1998,Connecticut,15-17 years,21,1303
1/1/1998,Delaware,15-17 years,32.7,490
1/1/1998,District of Columbia,15-17 years,55.2,456
1/1/1998,Florida,15-17 years,32.6,9275
1/1/1998,Georgia,15-17 years,39.6,6582
1/1/1998,Hawaii,15-17 years,28.1,686
1/1/1998,Idaho,15-17 years,24.1,784
1/1/1998,Illinois,15-17 years,31.9,8288
1/1/1998,Indiana,15-17 years,28.9,3754
1/1/1998,Iowa,15-17 years,18.9,1235
1/1/1998,Kansas,15-17 years,25,1528
1/1/1998,Kentucky,15-17 years,31.8,2706
1/1/1998,Louisiana,15-17 years,39.6,4339
1/1/1998,Maine,15-17 years,14.9,396
1/1/1998,Maryland,15-17 years,25.8,2673
1/1/1998,Massachusetts,15-17 years,18,2053
1/1/1998,Michigan,15-17 years,24.6,5163
1/1/1998,Minnesota,15-17 years,16.7,1819
1/1/1998,Mississippi,15-17 years,46.5,3183
1/1/1998,Missouri,15-17 years,28.8,3482
1/1/1998,Montana,15-17 years,19.8,422
1/1/1998,Nebraska,15-17 years,20.6,812
1/1/1998,Nevada,15-17 years,38.3,1317
1/1/1998,New Hampshire,15-17 years,13.3,329
1/1/1998,New Jersey,15-17 years,19.8,3091
1/1/1998,New Mexico,15-17 years,43.5,1901
1/1/1998,New York,15-17 years,21.2,7758
1/1/1998,North Carolina,15-17 years,37,5480
1/1/1998,North Dakota,15-17 years,16.1,248
1/1/1998,Ohio,15-17 years,26.9,6507
1/1/1998,Oklahoma,15-17 years,34.8,2736
1/1/1998,Oregon,15-17 years,26.2,1874
1/1/1998,Pennsylvania,15-17 years,21.7,5300
1/1/1998,Rhode Island,15-17 years,24,461
1/1/1998,South Carolina,15-17 years,38.5,3224
1/1/1998,South Dakota,15-17 years,19.8,367
1/1/1998,Tennessee,15-17 years,37.1,4196
1/1/1998,Texas,15-17 years,44.2,20599
1/1/1998,Utah,15-17 years,21.7,1355
1/1/1998,Vermont,15-17 years,11.3,146
1/1/1998,Virginia,15-17 years,23.9,3254
1/1/1998,Washington,15-17 years,23.4,2887
1/1/1998,West Virginia,15-17 years,26.6,1004
1/1/1998,Wisconsin,15-17 years,20,2363
1/1/1998,Wyoming,15-17 years,22.9,292
1/1/1999,Maine,15-17 years,14,373
1/1/1999,Alabama,15-17 years,36.7,3459
1/1/1999,Alaska,15-17 years,25.5,396
1/1/1999,Arizona,15-17 years,41.6,4243
1/1/1999,Arkansas,15-17 years,36.4,2098
1/1/1999,California,15-17 years,28.9,20230
1/1/1999,Colorado,15-17 years,29.6,2579
1/1/1999,Connecticut,15-17 years,18.8,1191
1/1/1999,Delaware,15-17 years,32.6,496
1/1/1999,District of Columbia,15-17 years,51.9,438
1/1/1999,Florida,15-17 years,30.1,8770
1/1/1999,Georgia,15-17 years,37.3,6236
1/1/1999,Hawaii,15-17 years,23.9,578
1/1/1999,Idaho,15-17 years,24.6,793
1/1/1999,Illinois,15-17 years,28.6,7408
1/1/1999,Indiana,15-17 years,27.5,3539
1/1/1999,Iowa,15-17 years,18.6,1199
1/1/1999,Kansas,15-17 years,24.5,1499
1/1/1999,Kentucky,15-17 years,30.2,2524
1/1/1999,Louisiana,15-17 years,37.3,4023
1/1/1999,Maryland,15-17 years,24.7,2608
1/1/1999,Massachusetts,15-17 years,16.1,1861
1/1/1999,Michigan,15-17 years,22.8,4755
1/1/1999,Minnesota,15-17 years,16.5,1805
1/1/1999,Mississippi,15-17 years,44.2,2961
1/1/1999,Missouri,15-17 years,27,3241
1/1/1999,Montana,15-17 years,18.5,395
1/1/1999,Nebraska,15-17 years,20.2,791
1/1/1999,Nevada,15-17 years,37.2,1336
1/1/1999,New Hampshire,15-17 years,10.9,271
1/1/1999,New Jersey,15-17 years,17.7,2786
1/1/1999,New Mexico,15-17 years,41.7,1814
1/1/1999,New York,15-17 years,19.8,7308
1/1/1999,North Carolina,15-17 years,35.4,5280
1/1/1999,North Dakota,15-17 years,13,198
1/1/1999,Ohio,15-17 years,25,5994
1/1/1999,Oklahoma,15-17 years,33,2579
1/1/1999,Oregon,15-17 years,25.2,1795
1/1/1999,Pennsylvania,15-17 years,20.6,5010
1/1/1999,Rhode Island,15-17 years,21.1,414
1/1/1999,South Carolina,15-17 years,36.9,3062
1/1/1999,South Dakota,15-17 years,19.3,355
1/1/1999,Tennessee,15-17 years,34.3,3860
1/1/1999,Texas,15-17 years,42.8,20121
1/1/1999,Utah,15-17 years,22,1342
1/1/1999,Vermont,15-17 years,12,156
1/1/1999,Virginia,15-17 years,22.7,3109
1/1/1999,Washington,15-17 years,21.7,2701
1/1/1999,West Virginia,15-17 years,24.9,904
1/1/1999,Wisconsin,15-17 years,20.6,2428
1/1/1999,Wyoming,15-17 years,22.1,276
1/1/2000,Alabama,15-17 years,36.3,3403
1/1/2000,Alaska,15-17 years,24.3,381
1/1/2000,Arizona,15-17 years,41.2,4296
1/1/2000,Arkansas,15-17 years,35.3,2021
1/1/2000,California,15-17 years,26.7,18914
1/1/2000,Colorado,15-17 years,29.6,2614
1/1/2000,Connecticut,15-17 years,16.7,1077
1/1/2000,Delaware,15-17 years,29.4,452
1/1/2000,District of Columbia,15-17 years,48.2,408
1/1/2000,Florida,15-17 years,29.2,8648
1/1/2000,Georgia,15-17 years,36.2,6114
1/1/2000,Hawaii,15-17 years,22.7,542
1/1/2000,Idaho,15-17 years,21,671
1/1/2000,Illinois,15-17 years,27.7,7152
1/1/2000,Indiana,15-17 years,26.2,3354
1/1/2000,Iowa,15-17 years,17.8,1138
1/1/2000,Kansas,15-17 years,22.7,1379
1/1/2000,Kentucky,15-17 years,29.1,2403
1/1/2000,Louisiana,15-17 years,35.5,3796
1/1/2000,Maine,15-17 years,13.5,363
1/1/2000,Maryland,15-17 years,23.4,2499
1/1/2000,Massachusetts,15-17 years,14.9,1740
1/1/2000,Michigan,15-17 years,22.1,4620
1/1/2000,Minnesota,15-17 years,15.8,1739
1/1/2000,Mississippi,15-17 years,44.3,2928
1/1/2000,Missouri,15-17 years,26.7,3202
1/1/2000,Montana,15-17 years,19,406
1/1/2000,Nebraska,15-17 years,19.2,753
1/1/2000,Nevada,15-17 years,34.9,1299
1/1/2000,New Hampshire,15-17 years,10.2,257
1/1/2000,New Jersey,15-17 years,16.7,2660
1/1/2000,New Mexico,15-17 years,39.1,1700
1/1/2000,New York,15-17 years,18.7,6958
1/1/2000,North Carolina,15-17 years,33.8,5087
1/1/2000,North Dakota,15-17 years,12.4,187
1/1/2000,Ohio,15-17 years,24.3,5796
1/1/2000,Oklahoma,15-17 years,32.6,2523
1/1/2000,Oregon,15-17 years,23.3,1657
1/1/2000,Pennsylvania,15-17 years,19.6,4763
1/1/2000,Rhode Island,15-17 years,21,415
1/1/2000,South Carolina,15-17 years,35.4,2921
1/1/2000,South Dakota,15-17 years,19.3,353
1/1/2000,Tennessee,15-17 years,33.6,3777
1/1/2000,Texas,15-17 years,41.6,19640
1/1/2000,Utah,15-17 years,21.2,1271
1/1/2000,Vermont,15-17 years,10.5,138
1/1/2000,Virginia,15-17 years,21.4,2960
1/1/2000,Washington,15-17 years,20.4,2560
1/1/2000,West Virginia,15-17 years,23.1,817
